instance,votes,candidates,trivial,reductions,hull_val,hull_time,hull++_val,hull++_time,TMC_val,TMC_time,valtr_val,valtr_time,QCP_val,QCP_time,IR_val,IR_time
../PrefLib-Data/datasets/00053 - f1races/00053-00000037.soc,24,11,None,,False,0.000475607812404633,False,0.000473674386739731,False,0.19541671872139,False,0.0124712493270636,None,None,False,1.65432336367667
../PrefLib-Data/datasets/00053 - f1races/00053-00000038.soc,44,16,None,,False,0.00139162875711918,False,0.00139865279197693,False,0.49781085178256,False,0.0262531526386738,None,None,False,18.8617792390287
../PrefLib-Data/datasets/00053 - f1races/00053-00000039.soc,37,16,None,,False,0.000844337046146393,False,0.000833775848150253,False,0.257558790966868,False,0.0704075153917074,None,None,False,9.71448509395123
../PrefLib-Data/datasets/00053 - f1races/00053-00000040.soc,39,13,None,,False,0.0202226955443621,False,0.0210751965641975,False,0.0398769974708557,False,0.0188453029841185,None,None,False,0.116459498181939
../PrefLib-Data/datasets/00053 - f1races/00053-00000041.soc,55,19,None,,False,0.0020424984395504,False,0.0020043570548296,False,0.347339820116758,False,0.408510558307171,None,None,False,1.18919801712036
../PrefLib-Data/datasets/00053 - f1races/00053-00000042.soc,36,18,None,,False,0.000938212499022484,False,0.000929767265915871,False,0.177782690152526,False,0.0815094634890556,None,None,False,19.3448545690626
../PrefLib-Data/datasets/00053 - f1races/00053-00000043.soc,54,17,None,,False,0.00824195705354214,False,0.00863264501094818,False,0.620122447609901,False,0.326377486810088,None,None,False,1.13110210932791
../PrefLib-Data/datasets/00053 - f1races/00053-00000044.soc,37,15,None,,False,0.000634398311376572,False,0.000611355528235436,False,0.383082250133157,False,0.0603390466421843,None,None,False,13.3772232551128
../PrefLib-Data/datasets/00053 - f1races/00053-00000045.soc,40,13,None,,False,0.0542088020592928,False,0.0564587041735649,False,0.110086560249329,False,0.0267566181719303,None,None,False,12.1737316828221
../PrefLib-Data/datasets/00053 - f1races/00053-00000046.soc,53,18,None,,False,0.000948851928114891,False,0.00092349573969841,False,0.454621335491538,False,0.435650123283267,None,None,False,0.190171664580703
../PrefLib-Data/datasets/00053 - f1races/00053-00000047.soc,42,16,None,,False,0.000734688714146614,False,0.000715781003236771,False,0.0177386049181223,False,0.00543100386857986,None,None,False,4.16706370562315
../PrefLib-Data/datasets/00053 - f1races/00053-00000048.soc,56,11,None,,False,0.00070423074066639,False,0.000696165487170219,False,0.219678360968828,False,0.0310650151222944,None,None,False,4.05804227665067
../PrefLib-Data/datasets/00053 - f1races/00053-00000049.soc,46,17,None,,False,0.0018212404102087,False,0.0017866063863039,False,0.153017584234476,False,0.275708330795169,None,None,False,1.53021020628512
../PrefLib-Data/datasets/00053 - f1races/00053-00000050.soc,27,12,None,,False,0.00206499360501766,False,0.00204608775675297,False,0.0585719142109156,False,0.0183878224343061,None,None,False,0.757058430463076
../PrefLib-Data/datasets/00053 - f1races/00053-00000051.soc,38,18,None,,False,0.000968649983406067,False,0.000966606661677361,False,0.0148274321109056,False,0.0219198949635029,None,None,False,24.3286461010575
